"id","blog","category","markdown","sg_id"
1052,"WN289","Did you know that…","... [translatewiki.net](https://translatewiki.net/) is where many open source projects are translated. Which includes [OpenStreetMap](https://translatewiki.net/wiki/Translating:OpenStreetMap), the OSM Website and Potlatch as well.",7
4228,"WN349","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[QGIS](http://www.qgis.org)|[2.18.5](https://github.com/qgis/QGIS/releases/tag/final-2_18_5)|2017-02-24|No infos.|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[9.0](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2017-03-21|Route planning and search reworked.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.35](https://play.google.com/store/apps/details?id=app.mapillary)|2017-03-21|Allow higher resolution and wider aspect ratio of images.|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2017-03-23](https://github.com/osm-fr/osmose-backend/releases)|2017-03-21|No infos.|
|[OSRM Backend](http://project-osrm.org/)|[5.6.4](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.6.4)|2017-03-21|Some bugfixes.|
|[GeoWebCache](http://geowebcache.org/)|[1.11.0](http://geowebcache.org/docs/current/)|2017-03-22|No Infos.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.10](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-03-22|Two bugs fixed.|
|[GeoServer](http://geoserver.org/)|[2.11.0](https://osgeo-org.atlassian.net/jira/secure/ReleaseNote.jspa?projectId=10000&version=15501)|2017-03-23|Ten bugfixes and some undocumented enhancements.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.2](https://itunes.apple.com/app/id510623322)|2017-03-23|Bugfix release.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-03-25|Minor enhancements.|
|[Potlatch 2](http://wiki.openstreetmap.org/wiki/Potlatch_2)|[2.5](https://www.openstreetmap.org/user/Richard/diary/40740)|2017-03-25|Please read release info.|
|[QMapShack Lin/Mac/Win](https://bitbucket.org/maproom/qmapshack/wiki/Home)|1.8.0|2017-03-26|No infos.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-03-27 18:15:39+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html).",7
5098,"WN367","Software","Adobe [announces](https://www.theguardian.com/technology/2017/jul/25/adobe-flash-player-killed-apple) that the Flash plugin will be retired in 2020. As the Potlatch online editor is based on Flash, James [asks](https://lists.openstreetmap.org/pipermail/talk/2017-July/078353.html) if this is the end of its life too. Potlatch enthusiasts are reassured by Richard Fairhurst that it will [continue](https://lists.openstreetmap.org/pipermail/talk/2017-July/078355.html) as a desktop app for Mac/Windows running with Adobe AIR.",7
8229,"WN435","Programming","If you've always wanted the upload of edits to be faster, now's your chance to help. The upload of changes has been completely reimplemented and [testers are wanted](https://forum.openstreetmap.org/viewtopic.php?id=64517) ![(de)](http://blog.openstreetmap.de/wp-uploads//2016/12/de.svg)(automatic [translation](https://translate.google.com/translate?sl=de&tl=en&u=https://forum.openstreetmap.org/viewtopic.php?id=64517)) to test the code with iD, Potlatch or JOSM. mmd also [published](https://upload.apis.dev.openstreetmap.org/user/mmd2/diary/1) instructions on how to help with testing in English, so not speaking German is no longer an excuse ;)",7
8199,"WN435","Releases","Potlatch 2 is still alive and actively maintained. Richard Fairhurst [announced](https://www.openstreetmap.org/user/Richard/diary/46925) two small updates.",7
8624,"WN444","Other Geo Things","Richard Fairhurst's [New Adlestrop Railway Atlas](http://www.systemed.net/atlas/) has been appreciated by fans of old railways from around 2004 when it first appeared. However, it never covered the whole of the British Isles. Certain minor distractions in the ensuing period (including Potlatch, Potlatch2, cycle.travel, tilemaker) have limited additions. Now Richard [hints](https://twitter.com/richardf/status/1087308417709031424) at a completely new edition.",7
9730,"WN466","Mapping","Richard Fairhurst [describes](https://www.openstreetmap.org/user/Richard/diary/389711) the latest addition to the on-line editor Potlatch-2. Specific relations can now be assigned to a function key thus simplifying the process of adding ways to a route relation. In the comments he also provides some additional hints as to how function keys can also be used for adding groups of tags.",7
10934,"WN493","Community","Darafei Komяpa Praliaskouski [created](https://twitter.com/komzpa/status/1211235966825967616?s=19) an OSM hate chart, with the most ""hated"" objects by size of contribution. Nice to see that Potlatch has not been forgotten.",7
12375,"WN524","OpenStreetMap Foundation","[Guillaume Rischard](https://www.openstreetmap.org/user/Stereo) [announced](https://lists.openstreetmap.org/pipermail/talk/2020-August/085174.html), on talk, the funding of three infrastructure projects: Nominatim, osm2pgsql and Potlatch 2 by the OSMF Board. Technical issues were discussed among others by [Sören Reinecke, Richard Fairhurst](https://lists.openstreetmap.org/pipermail/talk/2020-August/085179.html) and [mmd](https://lists.openstreetmap.org/pipermail/talk/2020-August/085200.html).",7
12564,"WN528","OpenStreetMap Foundation","The OSM Foundation is [funding](https://wiki.osmfoundation.org/wiki/Board/Minutes/2020-08#2020.2FRes38_Funding_of_projects_used_in_core_infrastructure_.28Nominatim.2C_osm2pgsql.2C_Potlatch.29) the development of [Nominatim](https://wiki.openstreetmap.org/wiki/Nominatim), [osm2pgsql](https://wiki.openstreetmap.org/wiki/Osm2pgsql), and [Potlatch 2](https://wiki.openstreetmap.org/wiki/Potlatch_2).",7
