"id","blog","category","markdown","sg_id"
81,"WN273","Community","The tool ""How did you contribute"" by [Pascal Neis](http://resultmaps.neis-one.org/) now [supports](https://twitter.com/pascal_n/status/653245421607895040) the editor [Level0](http://wiki.openstreetmap.org/wiki/Level0) created by [Ilya Zverev](http://hdyc.neis-one.org/?Zverik).",7
1421,"WN295","Releases","| Software|Version|Release Date| Comment|
| ------ | ----------- |----|----|
|[Level0](http://wiki.openstreetmap.org/wiki/Level0)|[1.2](-)|2016-02-09|Low level browser based editor|
|[Routino](http://www.routino.org)|[3.1.1](http://www.routino.org/software/NEWS.txt)|2016-03-06|Many changes and bug fixes of version 3.0|
|[Mapillary for Android](http://www.mapillary.com/map)|[1.7.9](https://play.google.com/store/apps/details?id=app.mapillary)|2016-03-10|Mapbox version 3.2.0, rudimentary Google Analytics|
|[Mapillary for iOS](http://www.mapillary.com/map)|[4.1.6](https://itunes.apple.com/us/app/mapillary/id757286802)|2016-03-11|Improvements and fixes for the cameras|
|[JOSM](http://josm.openstreetmap.de/)|[9979](http://josm.openstreetmap.de/wiki/Changelog)|2016-03-12|Bug fixes, mainly the OAuth problem|
|[OpenJUMP](http://jump-pilot.sourceforge.net/)|[1.9.1](http://sourceforge.net/p/jump-pilot/code/HEAD/tree/core/trunk/ChangeLog)|2016-03-13|New features and bug fixes|

provided by the [OSM Software Watchlist](https://osm.wno-edv-service.de/index.php/osm-software)",7
3919,"WN343","Mapping","Editing a single node with Level0, built a [transcontinental highway](http://www.openstreetmap.org/user/naoliv/diary/40437) from Europe to Brazil.",7
6407,"WN396","Community","OpenCageData's blog [interviewed Ilya Zverev](https://blog.opencagedata.com/post/openstreetmap-interview-ilya-zverev-level0), developer of the Level0 editor, about the reasons for the development and his hopes for OSM.",7
15793,"WN610","Did you know that…","… the [text-based](https://wiki.openstreetmap.org/wiki/Level0) OpenStreetMap editor [Level0](http://level0.osmz.ru/)?",7
19613,"WN717","Software","[Ilya Zverev](https://www.openstreetmap.org/user/Zverik), the developer behind well-known tools such as [EveryDoor](https://every-door.app/) and [Level0](https://wiki.openstreetmap.org/wiki/Level0), has [reminded](https://en.osm.town/@zverik/112263261228136077) us of his browser [plugin](https://wiki.openstreetmap.org/wiki/OpenStreetMap_Tags_Editor) for the fast editing of tags in OSM (we [reported](https://weeklyosm.eu/archives/15800#wn627_27120) earlier). This plugin allows tags to be corrected much faster, without the loading times of the iD editor, and eliminates the need to copy URLs into Level0.",7
19898,"WN724","Mapping","Ilya Zverev [announced](https://en.osm.town/@zverik/112535502532868959) that as of 1 June, his Level0 editor and other services, such as the OSM Imagery Browser and the Offset Database frontend, will be temporarily non-functional. Ilya explains that, due to the development of Every Door, he was not able to migrate the services to a new server in time for the transition to OAuth 2. The disruption is expected to last for one month, barring any urgent commitments.",7
20029,"WN727","Software","Ilya Zverev [announced](https://en.osm.town/@zverik/112666818036336293) that Level0 is now HTTPS-enabled with OAuth2 support and it's running on a new fast server, thanks to the support of OpenCage. Other services, such as the image offset database, will also be migrated.",7
21508,"WN762","Software","David Karlaš [updated](https://www.openstreetmap.org/user/DavidKarlas/diary/402768#comment58795) his script that adds helpful buttons to the OpenStreetMap website. The updated script now includes direct links to OSMCha and the Level0 editor and works with the recently updated layout of the OpenStreetMap website.",7
21564,"WN763","Releases","TrickyFoxy has [published](https://community.openstreetmap.org/t/better-osm-org-a-script-that-adds-useful-little-things-to-osm-org/121670/57) better-osm-org 0.9, which includes: the display of satellite images in Chrome-based browsers, displaying photos from Mapillary, visualisation of `direction= `, display of the number of comments near links to changesets, and the ability to open objects in a changeset in JOSM or Level0.",7
