"id","blog","category","markdown"
1942,"WN304","Maps","MapContrib is a site similar to uMap that allows a simple [generating](http://mapcontrib.xyz/) of your own map. Example maps include [fire hydrants](http://www.cartes.xyz/t/s8c2d9-Les_bornes__incendie), [mail boxes](http://www.cartes.xyz/t/2c4196-Boites_aux_lettres) andr [bicycle parking](http://www.cartes.xyz/t/s8c2d5-Combien_de_vlos_peut_on_accrocher)."
2206,"WN309","Maps","User Escada [is writing](http://www.openstreetmap.org/user/escada/diary/38884) about his use cases of the online thematic map service MapContrib. A summary of new features of  [MapContrib version 0.8.0 ](https://lists.openstreetmap.org/pipermail/talk/2016-June/076132.html) has also been posted by developer Frederic."
3483,"WN334","Did you know that …","... the service [MapContrib](https://www.mapcontrib.xyz/) of Guillaume AMAT? User escada [presented](http://www.openstreetmap.org/user/escada/diary/38884) it on the basis of a map with dog parks a few months ago."
3604,"WN336","Did you know that …","... the page [mapcontrib](https://mapcontrib.xyz/)? It is up with new features: The ability to create heat maps a new tag and presets handling and has the theme creator to translate all the theme information in English, French and Italian (for now)."
3667,"WN338","Maps","[Mapcontrib](https://mapcontrib.xyz/) has reached version 1.0 and therefore [published](https://blog.mapcontrib.xyz/2017/01/mapcontrib-1-0-is-here/) a first descriptive blog post."
4004,"WN344","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[SQLite](http://www.sqlite.org/)|[3.17.0](http://www.sqlite.org/releaselog/3_17_0.html)|2017-02-13|15 enhancements and three bugfixes.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.4](https://blog.mapcontrib.xyz/category/release-notes/)|2017-02-14|Update the changeset comment, MapContrib is not a prototype anymore.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.6](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-02-14|Fixed photo meta data to be compatible with server.|
|[OpenLayers](http://openlayers.org/)|[4.0.1](https://github.com/openlayers/openlayers/releases/tag/v4.0.1)|2017-02-14|Bugfix release.|
|[OpenStreetCam](https://play.google.com/store/apps/details?id=com.telenav.streetview&hl=de)|[2.0.0.2](https://play.google.com/store/apps/details?id=com.telenav.streetview&hl=de)|2017-02-16|Reward system with top list.|
|[Overpass-Turbo](http://overpass-turbo.eu/)|[2017-02-18](https://github.com/tyrasd/overpass-turbo/blob/master/CHANGELOG.md)|2017-02-18|Switched to OSMNames geocoder for map location search, improvements to mapcss,  updated translations|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
4020,"WN345","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[GeoWebCache](http://geowebcache.org/)|[10.1.2](http://geowebcache.org/docs/current/)|2017-02-20|No Infos.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.4.5](https://blog.mapcontrib.xyz/category/release-notes/)|2017-02-20|Update the italian translations, internal tuning.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.53.1](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-02-21|Recalculate the route with the display off.|
|[GeoServer](http://geoserver.org/)|[2.10.2](http://blog.geoserver.org/2017/02/22/geoserver-2-10-2-released/)|2017-02-22|Four extensions and eight fixes.|
|[Komoot iOS&nbsp; ](https://www.komoot.de/)|[8.5.2](https://itunes.apple.com/de/app/komoot-fahrrad-outdoor-routenplaner/id447374873)|2017-02-22|No infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-02-22|New routing algorithms, bugs fixed.|
|[OSRM Backend](http://project-osrm.org/)|[5.6.0](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.6.0)|2017-02-23|Many changes, please read release info.|
|[iD](http://ideditor.com/)|[2.1.3](https://github.com/openstreetmap/iD/blob/master/CHANGELOG.md#213)|2017-02-24|Three bugs fixed and four presets changed.|
|[QGIS](http://www.qgis.org)|[2.18.4](https://github.com/qgis/QGIS/releases/tag/final-2_18_4)|2017-02-24|No infos.|
|[Cruiser for Android&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.17](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2017-02-25|Various improvements.|
|[Cruiser for Desktop&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.17|2017-02-25|No infos.|
|[Osmose Backend](https://wiki.openstreetmap.org/wiki/Osmose)|[v1.0-2017-02-25](https://github.com/osm-fr/osmose-backend/releases)|2017-02-25|No infos.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.7](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-02-26|Added Arabic, screenshot functionality  modified.|
|[VTM](https://github.com/mapsforge/vtm)|[0.7.0](https://github.com/mapsforge/vtm/blob/master/docs/Changelog.md)|2017-02-26|Many changes, please read changelog.|
|[JOSM](http://josm.openstreetmap.de/)|[11639](http://josm.openstreetmap.de/wiki/Changelog)|2017-02-27|See release infos.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
4118,"WN347","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[OSRM Backend](http://project-osrm.org/)|[5.6.3](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.6.3)|2017-03-03|Some bugfixes.|
|[Osmium Tool](http://osmcode.org/osmium/)|[1.6.0](https://github.com/osmcode/osmium-tool/blob/master/CHANGELOG.md)|2017-03-06|Many changes, please read release info.|
|[libosmium](http://osmcode.org/libosmium/)|[2.12.0](https://github.com/osmcode/libosmium/releases/tag/v2.12.0)|2017-03-07|Many changes and bugfixes. Please read change log.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.4.6](https://blog.mapcontrib.xyz/category/release-notes/)|2017-03-08|Bug fixed.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.32](https://play.google.com/store/apps/details?id=app.mapillary)|2017-03-08|Fix background crash in camera and upload.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.22.1](http://www.locusmap.eu/news-version-3-22-1)|2017-03-09|Bugfix release.|
|[VROOM](https://github.com/VROOM-Project)|[V1.1.0](https://github.com/VROOM-Project/vroom/blob/master/CHANGELOG.md)|2017-03-09|Three extensions and three changes.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.33.1](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.33.1)|2017-03-10|Many changes and bugfixes. Please read change log.|
|[Routino](http://www.routino.org)|[3.2](http://www.routino.org/software/NEWS.txt)|2017-03-12|Various bug fixes, more translated phrases and some web page improvements.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
4166,"WN348","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.33](https://play.google.com/store/apps/details?id=app.mapillary)|2017-03-14|Fix bug in distance mode, upgrade map box map for more stability.|
|[Mapillary iOS&nbsp; ](http://www.mapillary.com/map)|[4.6.9](https://itunes.apple.com/us/app/mapillary/id757286802)|2017-03-15|Added support for future feed items, some bugs fixed.|
|[Locus Map Free&nbsp; ](http://www.locusmap.eu/)|[3.22.2](http://www.locusmap.eu/news-version-3-22-1)|2017-03-16|Bugfix release.|
|[Maps 3D Pro&nbsp; ](https://itunes.apple.com/de/app/maps-3d-pro-gps-tracks-fur/id391304000)|[4.1.4](https://itunes.apple.com/de/app/maps-3d-pro-gps-tracks-fur/id391304000)|2017-03-16|Many changes and fixes, please read release infos.|
|[Maps.me Android&nbsp; ](http://maps.me)|[var](https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro)|2017-03-16|Hotel pages enhanced.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.56](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-03-16|Integration of smart bike systems, bug fixes.|
|[Traccar Client Android](https://www.traccar.org/client/)|[4.1](https://www.traccar.org/blog/category/releases/)|2017-03-16|Fix some small issues.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-03-17|Minor enhancements.|
|[Mapbox GL JS](https://wiki.openstreetmap.org/wiki/Mapbox_GL)|[v0.34.0](https://github.com/mapbox/mapbox-gl-js/releases/tag/v0.34.0)|2017-03-17|Two new features and three bugfixes.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.6](https://github.com/MapContrib/MapContrib/releases/tag/1.6.0)|2017-03-17|Bug fixed.|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.56](https://play.google.com/store/apps/details?id=org.naviki)|2017-03-17|Integration of smart bike systems, connection to Bluetooth devices revised, bug fixes.|
|[Maps.me iOS&nbsp; ](http://maps.me)|[7.2.1](https://itunes.apple.com/app/id510623322)|2017-03-19|Fixes for iOS 8.|
|[PyOsmium](http://osmcode.org/pyosmium/)|[2.12.0](https://github.com/osmcode/pyosmium/releases)|2017-03-20|Three extensions, documentation fixes and use actual libosmium.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software).

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
4276,"WN350","Releases","| Software|Version|Release date|Comment|
| ------ | ----------- |----|----|
|[Magic Earth&nbsp; ](http://www.generalmagic.com/magic-earth/)|[7.1.17.12](https://play.google.com/store/apps/details?id=com.generalmagic.magicearth)|2017-03-28|Enhanced audio control, better search, performance improvements and bug fixes.|
|[MapContrib](https://www.mapcontrib.xyz/)|[1.6.1](https://github.com/MapContrib/MapContrib/releases/tag/1.6.1)|2017-03-28|Raised the payload limit to 50 MB.|
|[Gnome Maps](https://wiki.gnome.org/Apps/Maps)|[3.24.0](http://linux.softpedia.com/progChangelog/GNOME-Maps-Changelog-102221.html)|2017-03-29|Many changes and improvements, please read change logs.|
|[Komoot Android&nbsp; ](https://www.komoot.de/)|[var](https://play.google.com/store/apps/details?id=de.komoot.android)|2017-03-29|Minor enhancements.|
|[Naviki Android&nbsp; ](https://www.naviki.org/naviki/)|[3.57](https://play.google.com/store/apps/details?id=org.naviki)|2017-03-29|State notification with all connected Smart Bike systems, user interface revised.|
|[Naviki iOS&nbsp; ](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|[3.57](https://itunes.apple.com/de/app/naviki-das-fahrrad-navi/id371645683)|2017-03-29|User interface revised, bugfixes.|
|[OSM Contributor](https://play.google.com/store/apps/details?id=io.mapsquare.osmcontributor)|[3.0.4](https://play.google.com/store/apps/details?id=io.mapsquare.osmcontributor)|2017-03-29|No infos.|
|[OSRM Backend](http://project-osrm.org/)|[5.6.5](https://github.com/Project-OSRM/osrm-backend/releases/tag/v5.6.5)|2017-03-29|Some bugfixes.|
|[Jungle Bus](https://play.google.com/store/apps/details?id=io.jawg.osmcontributor.bus)|[1.1](https://play.google.com/store/apps/details?id=io.jawg.osmcontributor.bus)|2017-03-30|Bus Contributer now named Jungle Bus.|
|[SQLite](http://www.sqlite.org/)|[3.18.0](http://www.sqlite.org/releaselog/3_18_0.html)|2017-03-30|12 enhancements and five bugfixes.|
|[Cruiser for Android&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|[1.4.18](https://play.google.com/store/apps/details?id=gr.talent.cruiser)|2017-04-02|Graphic updated and various improvements.|
|[Cruiser for Desktop&nbsp; ](https://wiki.openstreetmap.org/wiki/Cruiser)|1.2.18|2017-04-02|No infos.|
|[JOSM](http://josm.openstreetmap.de/)|[11826](http://josm.openstreetmap.de/wiki/Changelog)|2017-04-02|See release infos.|
|[Mapillary Android&nbsp; ](http://www.mapillary.com/map)|[3.41](https://play.google.com/store/apps/details?id=app.mapillary)|2017-04-02|Record GPX track for every sequence, map option in sequence grid view, camera stability improvements.|

Provided by the [OSM Software Watchlist](https://wambachers-osm.website/index.php/osm-software). Timestamp: 2017-04-03 16:21:53+02 UTC

( ) unfree software. See: [freesoftware](https://fsfe.org/about/basics/freesoftware.en.html)."
