"id","blog","category","markdown"
3684,"WN338","Did you know that…","... the GPS navigator uNav for Ubuntu smartphones? This OSM-based Navi-App is now [available](http://news.softpedia.com/news/unav-0-64-turn-by-turn-gps-navigation-app-now-available-for-ubuntu-phones-511576.shtml) in version 0.64 for the Ubuntu Mobile Operating System (OTA-14)."
4030,"WN345","OpenStreetMap Foundation","Matt Amos [announced](https://lists.openstreetmap.org/pipermail/announce/2017-February/000103.html) on the   Announce mailing list   that the OSM API and the osm.org website will be temporarily unavailable on Sunday, March 12 due to a software upgrade, which will start at 11:00 UTC and hopefully take no longer than one hour."
14027,"WN561","OSM in the media","German computer magazine _c't_ [reported](https://www.heise.de/select/ct/2021/9/2100815261163494864) ![(de)](https://blog.openstreetmap.de/wp-uploads/2016/12/de.svg) > [![en](https://weeklyosm.eu/wp-content/uploads/sites/4/2020/09/en-green.svg)](https://translate.google.com/translate?sl=auto&tl=EN&u=https://www.heise.de/select/ct/2021/9/2100815261163494864) (sign up required to read full article) on [NUNAV's](https://www.nunav.net) apps with collaborative routing. In the article, [graphmasters](https://www.graphmasters.net/), the app's developers, stress the usage of OSM."
15014,"WN588","Did you know that…","... the [NUNAV Navigation](https://www.nunav.net) app for cars? It combines OpenStreetMap with real-time traffic data in Germany, Austria and Switzerland (  for now  ) and is available in the app stores in a number of European countries. Your route is continuously recalculated based on traffic during a trip. The app has no ads or trackers and the [GPS location data](https://www.nunav.net/data-privacy) ![(de)](https://blog.openstreetmap.de/wp-uploads/2016/12/de.svg) is only used for traffic aggregation. You can give the routing a try on the website of the [traffic control centre Lower Saxony](https://www.vmz-niedersachsen.de/navigation) ![(de)](https://blog.openstreetmap.de/wp-uploads/2016/12/de.svg)."
16196,"WN622","Other Geo Things","Canada and Denmark had a decades long land dispute, called the [Whisky War](https://en.wikipedia.org/wiki/Whisky_War), over an uninhabited Arctic island between Nunavut and Greenland. Following an agreement to divide control of [Hans Island / Tartupaluk / ᑕᕐᑐᐸᓗᒃ](https://www.openstreetmap.org/relation/11602182#map=13/80.8269/-66.4429), Canada now [has](https://nitter.net/xruiztru/status/1536709979129921540) a land border with a second country after the United States. Note that Canada also [shares](https://www.openstreetmap.org/relation/3406826) a maritime border with a second European country (France) near Newfoundland (second because Greenland is a constituent country of the [Kingdom of Denmark](https://www.openstreetmap.org/relation/9112011#map=3/75.08/-29.29))."
17069,"WN649","Programming","Paul Norman let us [know](https://blog.openstreetmap.org/2022/12/28/upcoming-downtime-on-2023-01-22/) that the API database servers will be unavailable on Sunday 22 January 2023 between [10:00 and 15:00 UTC](https://www.timeanddate.com/worldclock/fixedtime.html?msg=OSM+API+down+time&iso=20230122T10&ah=5) due to maintenance. Map editing (using iD, JOSM, etc), and replication updates will be paused during that period. Login to services that require osm.org authentication may be also unavailable."
17632,"WN665","Breaking news","OpenStreetMap website and related services will be [unavailable](https://twitter.com/OSM_Tech/status/1649349339800633344) for short periods between [00:00 CEST](https://www.timeanddate.com/worldclock/fixedtime.html?msg"
18005,"WN676","Mapping campaigns","With Maxar imagery being unavailable for several weeks, SColchester [published](https://www.openstreetmap.org/user/SColchester/diary/401839) a short guide that outlines the steps you can take to switch your Tasking Manager project to alternative imagery sources."
18991,"WN703","Software","Organic Maps distributed through the Google Play store has temporarily made login via OSM accounts unavailable due to Google's restrictions. The developer mentioned this on [GitHub](https://github.com/organicmaps/organicmaps/pull/7106). It is not yet clear whether this issue will affect other mobile applications that can log in via OSM accounts for editing."
19981,"WN726","Other Geo Things","The Guardian [reported](https://www.theguardian.com/science/article/2024/jun/15/london-underground-quantum-compass-gps-subatomic-instrument-locations) the development of a quantum compass for the London Underground, a subatomic instrument that aims to provide precise location tracking where GPS signals are unavailable. This technology leverages quantum mechanics to enhance navigation and could revolutionize how underground and other GPS-denied environments are navigated, offering greater accuracy and reliability."
20562,"WN739","Breaking news","The OpenStreetMap\.org website and mapping API will be [read-only / partially unavailable](https://en.osm.town/@osm_tech/113166418397142188) on Thursday, 26 September, from 20:00 to 21:00 UTC due to server maintenance."
